,episode_id,episodenbr,title,views,share,appreciation,chart,summary,date,doctorid,rating,votes,description,season,has_9,has_10,has_11,has_12,has_13,day_Mon,day_Sat,day_Sun,day_Tue
88,7.06,790,The Snowmen,9.87,38.8,87.0,9,"Christmas special. The Doctor turns his back on the universe after 
losing Amy and Rory, and lives a reclusive life in Victorian London. As 
Christmas approaches, he is drawn back into action by a trio of old 
friends and a plucky governess, and discovers an icy new threat to the 
world. Starring Matt Smith and Jenna Coleman, and guest starring Richard
 E Grant, with the voice of Ian McKellen.",2012-12-25,11,8.5,5154,"London, 1892. Snow is trying to evolve, feeding off of the nightmares of a little girl. But the Doctor has given up on saving the world. It is up to a young governess named Clara to convince him, with just one word, to save the day.",7,0,0,1,0,0,0,0,0,1
89,7.07,791,The Bells of Saint John,8.44,35.8,87.0,8,No Summary Available,2013-03-30,11,8.0,4377,"A chance phone call reunites the Doctor with Clara in the present day. A mysterious organization, lead by the evil Miss Kizlet, sends robots known as ""Spoonheads"" to steal the minds of people who use the company's WiFi. The Doctor and Clara must work together to find the location of the organization and destroy it before the whole world is trapped by the WiFi.",7,0,0,1,0,0,0,1,0,0
90,7.08,792,The Rings of Akhaten,7.45,34.8,84.0,16,No Summary Available,2013-04-06,11,7.4,4763,"Still not quite able to explain just who she is, the Doctor and Clara set off on their first adventure. He takes her to see the Rings of Akhaten and its famous pyramid. The residents of the 7 planets rotating around the same sun all believe the pyramid is the source of all life in the universe. There are quite a few visitors there for the Festival of Offering and Clara and helps a young girl, Merry, to have the confidence to perform an important ceremony to sooth and keep the Old God asleep. When Merry is drawn into the pyramid the Doctor and Clara go after her. When ...",7,0,0,1,0,0,0,1,0,0
91,7.09,793,Cold War,7.37,31.4,84.0,15,No Summary Available,2013-04-13,11,7.3,4000,"The Doctor and Clara find themselves dealing with Cold War tensions when the TARDIS lands aboard a disabled Soviet ballistic submarine. The Doctor isn't the only alien being on board however - while engaged in undersea drilling, Professor Grisenko thought he'd found a mammoth and brought the creature on the boat encased in ice. It isn't a mammoth but an Ice Warrior, who has been lying dormant for 5000 years. He identifies himself as Grand Marshal Skaldak but when he cannot contact others of his kind, he assumes he is the last of his race. He now has every intention of...",7,0,0,1,0,0,0,1,0,0
92,7.1,794,Hide,6.61,29.2,85.0,19,No Summary Available,2013-04-20,11,7.8,3970,"The Doctor and Clara arrive at an old manor house in 1974 where Alec Palmer and Emma Grayling are investigating the existence of a ghost. Alec is a former army Major, now a psychologist, whilst Emma is an empathic psychic who can not only sense the presence of paranormal beings, but can sense their feelings as well. Palmer explains the house has been haunted for hundreds of years, and the ghost - a woman - is likely much older. Emma senses the ghost is very lonely, but the Doctor realises she's not a ghost at all, but a creature trapped in a zone where time moves much...",7,0,0,1,0,0,0,1,0,0
93,7.11,795,Journey to the Centre of the TARDIS,6.52,30.2,85.0,21,"The TARDIS has crashed, Clara is lost inside, and the Doctor has 30 minutes before his ship explodes!",2013-04-27,11,7.5,3981,"The Doctor and Clara find themselves aboard a space freighter that has taken the TARDIS on-board as salvage. While the Doctor is ejected, Clara finds herself wandering through the vehicle exploring it's many - seemingly infinite - rooms. The Doctor re-enters the TARDIS accompanied by three workers from the salvage ship and they have but 30 minutes to find her. There are creatures in the depths of the TARDIS and the time travel machine will do whatever it takes to protect itself. There is a rupture in time however and the TARDIS is leaking recent history....which the ...",7,0,0,1,0,0,0,1,0,0
94,7.12,796,The Crimson Horror,6.47,31.5,85.0,20,No Summary Available,2013-05-04,11,7.4,3800,The Doctor and Clara arrive in 19th century Yorkshire where moral crusader Mrs Gillyflower is recruiting beautiful people for her idyllic garden city. At the same time rigid corpses dyed red are piling up and the brother of one of the victims seeks help from Madame Vastra. She and her party travel to Yorkshire where they rescue Doctor Who and Clara from the clutches of Mrs Gillyflower. They discover that the woman is a fanatical exponent of ethnic cleansing who plans to do away with those who do not meet her standards - even her daughter Ada. The Doctor and his allies...,7,0,0,1,0,0,0,1,0,0
95,7.13,797,Nightmare in Silver,6.64,27.1,84.0,22,No Summary Available,2013-05-11,11,7.4,3811,"Hedgewick's World of Wonders was once the greatest theme park in the galaxy, but it's now the dilapidated home to a shabby showman, a chess playing dwarf and a dysfunctional army platoon. When the Doctor, Clara, Artie and Angie arrive, the last thing they expect is the re-emergence of one of the Doctor's oldest foes. The Cybermen are back!",7,0,0,1,0,0,0,1,0,0
96,7.14,798,The Name of the Doctor,7.45,31.7,88.0,10,No Summary Available,2013-05-18,11,9.1,6126,"The Doctor's friends are being kidnapped, which leads him to the fields of Trenzalore, where his greatest secret will be revealed and Clara's mystery will be solved.",7,0,0,1,0,0,0,1,0,0
97,8.01,801,Deep Breath,9.17,37.9,82.0,2,"
When the Doctor arrives in Victorian London, he finds a dinosaur rampant in the Thames and a spate of deadly spontaneous combustions.

Who is the new Doctor and will Clara’s friendship survive as they embark on a terrifying mission into the heart of an alien conspiracy? The Doctor has changed. It’s time you knew him.
",2014-08-23,12,8.0,6505,"When the newly-regenerated doctor arrives in Victorian London, he finds a dinosaur rampant in the Thames and a spate of deadly spontaneous combustions.",8,0,0,0,1,0,0,1,0,0
